"TEAM NAMES","Series Number","Filename","Name","Description","Gender","attributes","UUID","SHA"
"","82","bolanle-pepper-dem","bolanle pepper dem","A lady that loves to show off.","Male","hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender;","46966104-775b-4443-90bb-b35afd121653","7a64e2fc99453e35ec232880b892e610264a772937e9a6be2369779e0b876e94"
"","83","tayo-tailor","tayo tailor","A professional fashion designer.","Male","hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated;","70828783-ac38-48cf-b966-cfebc92ebd86","7973d56e21d7ead9b6c714e5286c5d4ea471b6e8d1835c717d4053843aa85b2d"
"","84","ajasco-comedian","ajasco comedian","A newbie comedian.","Male","hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant;","8bebdb3a-f0a8-47ba-892f-39aa275fbd0d","20d5d7c4fe6ce3aafcf03368b524844999785aeaf71b1332aeafcdef3ae0cb6f"
"","85","tobi-babyboy","tobi babyboy","A guy who does not like stress.","Male","hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries;","3da592d4-5dec-4bc5-8412-f1b2a0269f95","560d5f89b120964b4b72e564bbe9623fe85360f4819845aadf77c3461ff7a921"
"","86","esther-sassy","esther sassy","A rude lady.","Female","hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace & earrings; expression: bold; strength: confident; weakness: judgemental;","0642a25a-966d-446f-b021-a6d18e7fa0c5","81f100fe2393a29058140837237c9ad119520e1858b4cda4cec03551a064ba7d"
"","87","ozo-fineboi","ozo fineboi","A charming person","Female","hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker & hookah; expression: blank; strength: charismatic; weakness: proud;","hair: brown, eyes: blue, teeth: none, clothing: aztec print blouse,  accessories: choker & hookah, expression: blank, strength: charismatic, weakness: proud","7c81afac61cd13b1c671ae0bad3b3b248ad5505391d2c553f4752d98f19b820a"
"","88","ade-party-girl","ade party girl","The life of every party.","Female","hair: brown; eyes: blue; teeth: gap-tooth; clothing: one-sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive;","7e3db30c-9faf-430d-ab48-b854fe0456b9","32b2c588b8eb830045472508d6ef9eb3e9811eb82f39c77629e7bc6caf32fb8b"
"","89","john-casco","john casco","A very observant person.","Female","hair: black; eyes: blue; teeth: none  clothing: one-sleeved ankara top; accessories: earrings & necklace  expression: shocked; strength: unpredictable; weakness: loner;","2eff88ef-5bc2-4779-917a-533e952e2953","34b46aeaf7707c35644e2f1c304ec8ed16a37356072133ee886e92321e3168bf"
"","90","agha-uwa","agha uwa","A woman of high social class.","Female","hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap & full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner;","8478a002-1eba-4a05-8b98-7170c6e39254","ec09241385511006db577be5905d0ec08024aab867e04be1ddf3db942b1dc478"
"","91","udeme-great","udeme great","A lady given to adventures.","Female","hair: purple; eyes: black; teeth: none  clothing: ankara top with blue sleeves; accessories: green necklace & green earrings  expression: clueless; strength: decisive; weakness: stubborn;","d1476409-6f8b-4be9-8c93-24d9123749c5","3f9ec001e56ddd9b4651eb766a88d053bd23c3a9b9499c58d0cc000e424bd6cf"
"","92","femi-tech-bro","femi tech bro","A rookie in the tech indutry.","Female","hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination;","ba3ec22a-13d5-4e19-9b7f-aac764fda28c","795dcd0ac2a2082a9155e06ecc920f71604693241a893ee8c2cdbe9513c6f1a9"
"","93","sai-baba","sai baba","A leader of a third-world country","Female","hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings & necklace; expression: anxious; strength: trend spotter; weakness: distracted easily;","fdfff369-5b57-4612-9f89-f5d408f24a35","c6f7b657ebb53c53980d2de1f973629f84bad4c984ff4bf5c39a69be9e5115c6"
"","94","omo-pastor","omo pastor","A devout christian.","Female","hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings & green necklace; expression: happy; strength: happiness; weakness: too emotional;","49e09559-61a6-41ff-811a-272721a7475c","b4ea6fb0246ed0bf1824a7fc53770a1bf420ef939a9a379395b79e49dbe2e7d6"
"","95","obi-container","obi container","A rich south-easterner.","Female","hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker;","4b64cf48-94fa-4aed-8cf2-452974b48ee3","2ea8ad7a3d6daab8ae0cd7e5b392c2817d5198a7d2cabd6f0057c829e21e4653"
"","96","erigga-international","erigga international","Superstar from South-South.","Female","hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace & red scrunchie; expression: curious; strength: talented; weakness: overconfident;","3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c","310c504c427aecb271dbf7eb77a18e8891dbf64f1b98e3eb9a499b018e204cf1"
"","97","ayo-web3-bro","ayo web3 bro","Someone with no actual knowledge of basic computer principles.","Female","hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate;","c137ec2b-18cd-4c29-a194-af29ac9e6c1c","1583f33c7be214fd78f9391a2b663303e071144ec4d04ab1f8f0bef0d951810f"
"","98","phoebe-queen-bee","phoebe queen bee","A self-centred woman, who only thinks about herself","Female","hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible;","1277e9c0-81dc-4747-89df-a9d2ae4fcf96","0e61d9839dfc83dd3e12c8f9c7490fd64ab816d5eae1cec0387c43b545e0e6e3"
"","99","rachel-warri-babe","rachel warri babe","A highly disciplined woman.","Female","hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative;","19e6af3b-ef2d-46ba-ba05-59fb612ebbee","a8f0c1eb3781fb7b00ec91db6cafda6239b4febd6bfc666acc040ed14e073553"
"","100","adun-preacher","adun preacher","A religious woman.","Female","hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet & hookah;  expression: blank; strength: bold; weakness: fake ;","cc4dfedf-c343-48db-ad67-e39452ec2380","9dff7bf85ae81cc72a518c57baec94fa96e3d450460fb7e3c4888998193621b1"
"TEAM CHISEL","101","adebola-omo-oba","adebola omo oba","Adebola loves soft life with her fathers wealth","Female","hair: brown; eyes: opened; teeth: white; clothing: ankara print ; accessories:none ; expression: staring; strength: bold; outspoken; weakness: pride;","fbf43611-f267-4cba-bf4b-a3ffdc122589","e46cb5b3c0c5c812a2d38165a3af6ec5059fef6b286e40b959e78f2ea8f14bf0"
"","102","chichi-the-dancer","chichi the dancer","Chichi loves dancing and party","Female","hair: black; eyes: blue;opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl;","e7c32b06-7022-49b4-bbe5-81e8c1d58583","049b70de5980945eac1afb812c2dd14829c4446a7139b5e859fcd9d712b48a8f"
"","103","hammed-the-farmer","hammed the farmer","Hammed owns a farm with his family","Male","hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking;","e57d8985-599e-49da-8d62-fc16b7ac93f2","c107fb4935bb0fcb6f27d855cc1deda977821964ede10148551d33c149d6c6af"
"","104","farida-the-tivlady","farida the tivlady","Farida is a beautiful Tiv woman","Female","hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking;","31d3e229-003e-43c8-ba82-38f49cf58ccb","40b52650ca45d7aea2b6d74d5be1ee4e1f21f996bc95be3bcf8b14852e67aecf"
"","105","hannah-the-singer","hannah the singer","Hannah loves singing and belongs to choir","Female","hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading;","281f5bd7-5282-458b-9811-e369980e7dee","c1d9c89f69a3d959135b5d66f87679d4a062e603027c1face3ddda930afa5a62"
"","106","nonso-the-igbogirl","nonso the igbogirl","Nonso is a hardworking Igbo girl","Female","hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending;","5cfa76df-8376-4505-af12-78af24f108d6","68d9e67d95be1785358a3db072efa2a2daf0183b8f1b6688de261dfddeb42afa"
"","107","shade-olori","shade olori","Shade loves soft life and makeup","Female","hair: black; eyes: blue;opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping;","1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9","73d4d1f43bf33dba87b57ce74c2d19d5ed4597ae56eb951afbf6e25ea185e300"
"","108","quadri-the-teacher","quadri the teacher","Quadri is a devoted teacher that teaches mathematics","Male","hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking;","d96a93e7-17a4-4efe-b09b-02185cc81ce8","d18ddb1ec3516f093715dc1f1f38f8b76f1fc94ea41b37ab8a6d9a61537bd38e"
"","109","Ifeanyi-the-dj","Ifeanyi the dj","Ifeanyi is a music dj that performs at events","Male","hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none;","030f665d-2cd7-4376-aef5-4030dad9f2d6","a6363f6e9943d6d063e8303fb52ce73bf9a23a99f032a55a942a2c64b4befcd3"
"","110","fayo-the-yorubademon","fayo the yorubademon","Fayo is a youruba demon that breaks hearts","Male","hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals;","e270e278-a9b5-408d-b527-d518239a997b","8160295d408ddc835de1b1348433835a9d91ec603990b51e8c47bb9d9b53213f"
"","111","nkechi-the-actress","nkechi the actress","Nkechi is an internation actress that acts in hollywood","Female","hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie;","34b1136d-00b1-4f29-8a03-5b02291d47d5","84e87cb36c0f49273ee2f286e5dd3caebc142415ff0c4720c1cf7f9977b2a2d8"
"","112","hamzat-the-mallam","hamzat the mallam","Hamsat is a mallam that changes money","Male","hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic;","592eff9f-93b2-4452-a2ed-5d44ebc969db","639708534ea8b452774771e679b3ccb2d213cfe01aabbca05b8216a875b318b0"
"","113","nnena-pretty-girl","nnena pretty girl","Nnena is beautiful girl that loves to talk about her beauty","Female","hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive;","d9477612-ad63-408e-8d12-24679c647b32","310a25b4a091b1a51eac92d3bd4da63103fc044f735b1c47301b3bcaf41daec6"
"","114","tunde-the-boss","tunde the boss","Tunde is a boss that orders her helps around","Male","hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy;","7635c4ee-04f6-4872-bfc9-37e5a73c8fc6","243435545280d15abb92e2579d69f3f3925a285f8d35928ee0ba6754e62d39f0"
"","115","nnamdi-the-barber","nnamdi the barber","Nnamdi is a baber that does celebrity haircuts","Male","hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing;","152758f3-9414-45a2-a809-95cb05a3de13","33296e074a9de0ffd8ab6ee5e57b9b8089670f250ba79cf2ec4197b10d6cd2a5"
"","116","amaka-the-hypepriestess","amaka the hypepriestess","Amaka is a very hyper that she hypes in the clubs","Female","hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive;","c7726e84-3c5c-4e66-8677-cbfb5c9ee850","97adc174b9e6509e7e8aa51ad952ace49811901f02dcdbb8804427a4d5a40e46"
"","117","kemi-foodie","kemi foodie","Kemi loves food but cannot cook","Female","hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness;","3116cb6f-14c4-4d5a-af57-54253b72a309","d3a35946a5658f12dfd641a7d1d9e310cee1bbe21584a44254885644688ad465"
"","118","ada-the-fashionister","ada the fashionister","Ada loves fashion that she rarely repeats cloths","Female","hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious;","a14df1c1-7a5a-4a33-8780-0fb01c593da6","62416beb8b01280a76c176f8cd2f35957c254c6d54f0f4e36559fa19b3063e59"
"","119","kayode-the-baller","kayode the baller","Kayode loves life and lives it","Male","hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women;","fe17bfdc-c251-4654-8313-1ab793e11748","c1bf71a408d084eec794bd0e77cd97dc1fd3e36f4399de45515326c44476d5ea"
"","120","kola-of-lagos","kola of lagos","Kola is the life of the party everywhere he is","Male","hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy;","df295be1-1509-406e-a263-28a5dee0abca","a7b06be01e0f76450664334ba27e43b8418e3601db396e61c66c4d77c242df0b"
"TEAM BRAINBOX","121","azikiwe-popular-trader","azikiwe popular trader","Azikiwe is a popular trader","Male","hair: none; eyes: blue; teeth: none; clothings: purple and yellow; accessories: cap; expression: happy; strength:strong ","7ebde325-8efc-4997-811a-b5686269929e","52403e7f2374606c6af5b73c94ab5a788ebcd915483ef5f311a6359f419f1029"
"","122","obasanjo-funny-guy","obasanjo funny guy","Obasanjo is so hilarious ","Male","hair:none ;eyes: black;teeth:small open teeth; clothings: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild  ","c136a120-a339-4080-96ca-1c93845c5848","5ea8e8f96774ad3c2b3e8fb26237ab9cd1628f82121b228634a3b2ef9b727823"
"","123","yakubu-village-chief","yakubu village chief","Yakubu is the village chieftain","Male","hair:none ;eyes: blue;teeth:open white teeth; clothings: black isiagu; accessories:cap; expression:happy; strength:strong  ","5b0c0d26-d204-4264-b579-081ff9df935b","cc7463b168d4e30ae20ca7f2485f75b020d02579d52ec9bdedf024d310883b03"
"","124","abacha-loves-smoking","abacha loves smoking","Abacha loves taking pipe","Male","hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothings: mixed colors ankara wear; accessories:none; expression:happy; strength:strong","8ac6d95f-0cf3-4f54-9cf2-be8834b3004c","88713cb3d4b77ed7f9da27a63249c288ca121f3e9b03bca6460cba8a332232c6"
"","125","johnathan-good-leader","johnathan good leader","A very progressive young man with positivity ","Male","hair:punk bearded man ;eyes: closed; teeth:none; clothings: white shirt and senator; accessories:cap; expression:bone face; strength:strong  ","241e3713-4ce3-48d0-827f-b282ae2db6c4","08938fdac7d532cdaeeea31eeac134aa39e418ce4ae65a65130b81443e37742f"
"","126","johnathan-genz-kid","johnathan genz kid","A child of the moment , all fun and cruise ","Male","hair:none ;eyes: blue;teeth: white; clothings: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong  ","90c0ae09-a35f-42ad-b93c-dcf30169acd9","761b2d13bf937ba26c040f2abdb296b291b3f371ae99e8e0a6d9a5f5c3fe907a"
"","127","eddy-the-community","eddy the community","Man of the people ","Male","hair:none ;eyes: blue; teeth:none; clothings: black isiagu wear; accessories: cap; expression: happy; strength: strong ","5cabf9d9-882b-459e-9253-8c07eb045e2d","7a2fe0099ed92baa769e0f23668ab957536efa44d1fcd8e6e9eaa921ed9b0399"
"","128","olu-the-oba","olu the oba","The oba of Ofuk kingdom ","Male","hair: purple braided hair ;eyes: black; teeth: none; clothings: mixed color traditional wear; accessories: none; expression: serious face; strength:mild  ","04c4b28a-aca0-44b1-a064-ed0d9d2a31ca","31dec39fd5e6f3c70d97b1aff722745120f9027d65256c455263b87c3661764d"
"","129","edu-the-biggest-trader","edu the biggest trader","The biggest merchant in west coast ","Male","hair:none ;eyes: blue; teeth:closed; clothings: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong  ","48d1de5f-5f3f-46aa-b2fd-68420a8e802b","395810fdcf0b3251fdbc8586c87ffb37e61a5ae83dab5ca69a0d5203e1929949"
"","130","james-importer-and-exporter","james importer and exporter","Sole importer and exporter of spare parts in Africa ","Male","hair:none ;eyes: blue;teeth:none; clothings: purple and yellow; accessories:cap; expression:happy; strength:strong  ","22541251-022f-480c-8c1e-cf754dce16d6","5355650dff83cfad8bd7cf00d97ded7cb83de5ef0a72e0046eb36d9a8a4928c4"
"","131","lanre-the-dreaded-guy","lanre the dreaded guy","The wayward tout","Male","hair: none ;eyes: none; teeth:white; clothings: ankara; accessories:cap; expression: happy; strength:strong  ","66a054cd-5541-4000-98aa-8f2e9892d880","224dd05d7bf01867a1485a2dc6da5195d6f4d73dcf01da3a77db1db82f43d778"
"","132","olamide-the-street-boy","olamide the street boy","Friendly street gang","Male","hair:none ;eyes: white; teeth: none; clothings: green and blue; accessories: cap; expression: serious face; strength:strong  ","d50a35b1-b42e-4e0c-8dd8-9b892b56d371","a94ea662838d19f25f98a89abea1dd9d8ce45156291024e1bccdc9c2d1b1d3dd"
"","133","uche-peace-loving-man","uche peace loving man","A man of peace and discipline ","Male","hair: yellow ;eyes: blue;teeth:none; clothings: yellow; accessories:none; expression:happy; strength:strong  ","6c9d6eae-2ea2-468c-a2c8-928aaafc084b","a678d0bc707cbceb614c03a0d8fd7f8a22253cc3b2a268b29575cc53b630b904"
"","134","dave-the-tech-bro","dave the tech bro","Dave the web3 geng","Male","hair: none ;eyes: none; teeth:white; clothings: none; accessories:cap; expression: serious face; strength:strong  ","c0857b11-bf0e-46a4-9108-b8eb93d83e74","03b73fd062bb50c5e8985d06cb8cc7cb87ad185f98f169bac848213f491885fd"
"","135","obi-the-biggest-humanitarian","obi the biggest humanitarian","The biggest helper during the pandemic ","Male","hair:none ;eyes: blue; teeth:white; clothings: brown; accessories:cap; expression:happy; strength: strong  ","201a408c-7a2e-42d9-a62c-0136c885c211","d1028d54ad64d08975f76e22a725ec5fcb75143cacf29544dcfdbb548e76a714"
"","136","precious-the-emotional-girl","precious the emotional girl","Soft hearted and sensitive precious ","Female","hair:none ;eyes: white; teeth: white; clothings: yellow and blue; accessories:cap; expression:angry; strength:strong ","b6a41ff1-51ce-42f7-9933-85d0a22ced68","203ab48c8aad9f37e2aea53aa75271508cb1f02d536e4a24c370511e0a2b9150"
"","137","ella-serious-minded","ella serious minded","Ella a dedicated young lady ","Female","hair: none ;eyes: white;teeth: white; clothings: black and yellow; accessories:cap; expression:happy; strength:strong  ","04036447-f43e-4bfb-9503-f55c9064b14e","663f34e8327aa4c1b1603b6dd7e07fe1e1aec9d4efe11b116eafa59c7540f725"
"","138","cynthia-cute-eyes","cynthia cute eyes","Cynthia with a priceless cute eyes","Female","hair:yellow ;eyes: blue;teeth:none; clothings: blue and yellow; accessories: none; expression: serious face; strength: mild ","5d12847b-6d71-4691-8337-2e6ef3e283b2","8a97dd610c57ddaea50bbc23b51a69e88167fc1fcbac41156a7f28f71082d75b"
"","139","mary-with-hair","mary with hair","Mary with her beautiful Afro ","Female","hair: none;eyes: none;teeth:none; clothings: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful","98035e8b-6540-4464-8a3c-fdac9f07b168","99d0768f29e8b8bd1d8c5a39e5076fd26eee48f1f32ca7065807cbdf3018c1fe"
"","140","ada-chewing-bubble-gum","ada chewing bubble gum","Ada always chewing gum","Female","hair: none;eyes: none;teeth: white; clothings: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive","15309dc5-e483-4658-b503-db85ba2c1722","190e9c68732a97674de1d7be8f97fe4fa90dd233be390641a8c6b1dd001ac4e2"
"TEAM PLUG","141","viganem-the-drummer-girl","viganem the drummer girl","Known for typically playing the drum for 5 hours per day without a break.","Female","hair: none;  eyes: none;  teeth: none;  clothing: ankara with drum patterns;  accessories: none;  expression: sumg;  strength: none;  weakness: none;","5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4","edd8b86a4a181c263ad2bdd04a576adc8ded86940d7519a30f9adeacab8346c4"
"","142","lenusuka-the-big-woman","lenusuka the big woman","The lady that loves spending money and buying everybody asaobi.","Female","hair: purple;  eyes: none;  teeth: none;  clothing: black and blue ankara;  accessories: none;  expression: serious;  strength: none;  weakness: none;","e564a43a-ef77-487d-a88e-749d20a09fd8","ae687e1aab315803af4375b6d2b1535e90acde1c68797c18f0efc127034f4d8b"
"","143","enepua-the-clout-queen","enepua the clout queen","The lady that travels all day and enjoys snapping food at restaurants.","Female","hair: purple;  eyes: none;  teeth: none;  clothing: black ankara with yellow and blue gear pattern;  accessories: none;  expression: chill; strength: none;  weakness: none;","6dc7e452-0626-4f4c-a28c-f5db3532e305","151054ab13534b07b3971e78625eb461ddea98151a6f668ed6746f5c6ee2226b"
"","144","usifong-queen-of-mushin","usifong queen of mushin","Changes her hair every 2 weeks and cannot finish one pure water.","Female","hair: brown afro;  eyes: none;  teeth: none;  clothing: black ankara with yellow; peach; and blue gear pattern;  accessories: none;  expression: unbothered;  strength: none;  weakness: none;","221263d0-8775-49f8-bbf8-4b08b49e1482","1e3913da1027bbc2c3dd00f073328de993c58e747ee221cc9f63dc3b5a89fca5"
"","145","akinyim-the-clown","akinyim the clown","The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.","Female","hair: burgundy dreadlocks;  eyes: none;  teeth: none;  clothing: kente blouse with asymmetric neckline;  accessories: none;  expression: off-standish;  strength: none;  weakness: none;","c1070dce-48a1-4ae8-b9a4-d070859a8377","f68909bf1840fa8e2e312081ee212702e5a61dbe8766183b654834fe6b07ffe6"
"","146","zawadi-mr-sleep-everywhere","zawadi mr sleep everywhere","Likes sleeping in the weirdest places especially in clubs.","Male","hair: brown; eyes:none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none;","c22489fe-574b-47f3-9667-c9c798b2d4df","bdcb467fe21ad5a312d9e25ecd034aaaa5a4918e0281ff52733b127a7f0540c3"
"","147","chepkirui-mr-self-love","chepkirui mr self love","Likes taking care of himself and spending on himself.","Male","hair: burgundy fila cap;  eyes: none;  teeth: none;  clothing: black and kente patterned agbada;  accessories: none;  expression: sleepy;  strength: none;  weakness:none;","1a91e778-d214-476b-a667-94e9ecb8b5ce","44582fc216a268700a36eefabb0271f4af5cd8523501a42699c29f2ebe2c45ff"
"","148","naserian-the-fear-fear-dancer","naserian the fear fear dancer","A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.","Male","hair: face cap turned to the side;  eyes: none;  teeth: none;  clothing: yellow and blue ankara;  accessories: none;  expression: warm;  strength: none;  weakness: none;","8177cf38-8284-4eb4-b19c-04473bcb3b5e","a3dfadc1f51f927511f7b0116447c5865aa1507edb55da55b7e3c2fcd1a9ca4e"
"","149","wawuda-the-ashawo-of-africa","wawuda the ashawo of africa","Brags about his body count and follows skirt anywhere.","Male","hair: blue cap;  eyes: none;  teeth: none;  clothing: green top with blue overalls;  accessories: none;  expression: fear;  strength: none; weakness: none;","0554bf35-f588-4009-aafc-ef875b878c29","35cd17b758589cd1c62ae3acbc50d2d7b502dc5d2c282e8dc4ede039d5523aaa"
"","150","kerubo-the-igbo-smoker","kerubo the igbo smoker","Loves only his igbo and is happy when he finds an old blunt.","Male","hair: brown;  eyes: none;  teeth: none;  clothing: brown shirt with dog pattern;  accessories: none;  expression: smirking   strength: none;  weakness: none;","33ba8e73-7949-4bc7-ba27-37ee1d573946","05672715c1345db8a3185a11f20ad45ccd87aa2c25bfefff38a2ff72291233e4"
"","151","rehema-the-olodo","rehema the olodo","Failed primary 5 eight times and like playing football after school.","Male","hair: teal cap with black and white stripes;  eyes: none;  teeth: none;  clothing: purple shirt with yellow accent;  accessories: none;  expression: euphoric;  strength: none;  weakness: none;","1fb33783-4898-48cf-8a73-f81afc71e1a8","771b71a12b8819be963c73df70583767c1d3111e023cd5626aafbd524bc8d962"
"","152","nekesa-the-brainbox","nekesa the brainbox","A proposed elite who cannot write a simple speech.","Male","hair: black and red hat;  eyes: none;  teeth: none;  clothing: monostrap black ankara with yellow and red patterns;  accessories: none; expression: playful;  strength: none;  weakness: none;","7ba909bd-19a1-454d-a86c-a45e85cb94a6","ad002646dac2dc0caadd00771d5ce0c4771b4201faeda1dc0e05b4e5da204801"
"","153","kiokoli-the-slowrunner","kiokoli the slowrunner","Always running in every race but never making it to the first 5.","Male","hair: black and yellow cap;  eyes: none;  teeth: none;  clothing: maroon agbada with yellow accents;  accessories: none;  expression: clueless;  strength: none;  weakness: none;","d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba","4abd0c267e56771c42cb64a6bdd1ead08eeea495f4ee2cc104148b4f0afcff69"
"","154","adjuani-uncle-wire-wire","adjuani uncle wire wire","Mugu money spender that loves spending on women extravagantly.","Male","hair: red cap;  eyes: none;  teeth: none;  clothing: plain and patterned ankara shirt;  accessories: none;  expression: anxious;  strength: none; weakness: none;","36cd959f-d280-41f6-af76-765715c72527","d04d00e1cebbe354fcb1c64e3e74b8ca6c96f9d6f153ecbb70ec06c985fc61c4"
"","155","ajobaru-a-creative-artist","ajobaru a creative artist","A lovely artist who is know for creating magical art pieces that can spark a smile.","Male","hair: black and yellow fila cap;  eyes: none;  teeth: none;  clothing: yelow kente shirt;  accessories: none;  expression: cheerful;  strength: none;  weakness: none;","9d262f55-73d7-4b95-9a82-42356dbb085c","5d4415fd05a99bcb297b5ee9538995656b4314923f0bd7eb08e578085404161f"
"","156","effiadem-the-fireman","effiadem the fireman","A retired military general who always loves shooting at sight.","Male","hair: brown;  eyes: none;  teeth: none;  clothing: black and kente agbada; accessories: none;  expression: high; strength: none;  weakness: none;","a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64","194a0816443fe16c5af28fc628ccf34819629a738c080a5b5168c3c5d976cdf8"
"","157","deladem-the-commandoo","deladem the commandoo","The nerd who has watched all war movies but cannot fight a kid.","Male","hair: burgundy cap;  eyes: none;  teeth: none;  clothing: black and kente agbada;  accessories: none;  expression: none;  strength: none;  weakness: none;","88106b92-da30-46ad-a3cc-d528683b9e33","310ccea430b0ed0b2041ec601e87d72b5d8f11d2814b68e68615daf618d9b596"
"","158","dogbeda-the-monger","dogbeda the monger","A fisherman who pracitically live in the river.","Male","hair: orange and cream cap;  eyes: none;  teeth: none;  clothing: orange and blue denim;  accessories: none;  expression: unbothered;  strength: none;  weakness: none;","66a09968-cb92-4378-a588-49947f68c537","6e40850a48b29d334c34c7f33f63d287e89757470b821dd1ba237c6f19c3e63e"
"","159","enyonyam-our-slay-mama","enyonyam our slay mama","Posts new pictures everyday and can snub for africa.","Male","hair: blue cap; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none;","5e7c7f9d-d631-4759-9b27-cbaccd33d39f","949a72c4631867506da89bcf4184e20d9bc680cb374896a0ab6af8a8d8de6a59"
"","160","lumusi-pro-technician","lumusi pro technician","The electrician well known for wiring burnt buildings.","Male","hair: red hair; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none;","b07676a6-c611-410d-8426-46c9c525189a","85e368d7c39538bd8484af43087f990ff9ca25cbb8298e9b0794a0a47a19cedf"
